Title	ID	Product Type	Size	Tooth Count	Zipper Tooth Type	Slider Type	Item Type	Kits Including	Add Zipper Kit Type	Regular price	SKU	Categories	Tags	Gallery	Slug	Catalog Visibility	Shipping class
Clothing - Zipper Rescue Kit®	292	Zipper Rescue Kits			Coil, Metal Tooth, Plastic Tooth		Boots & Shoes, Dresses & Skirts, Jackets & Coats, Pants, Purses & Small Bags			14	RK CL 101	Zipper Rescue Kits		https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-Clothing-Kit-Page-1.jpg, https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-Clothing-Kit-Page-2.jpg, https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-Clothing-Kit-Page-3.jpg, https://staging2.zipperrescue.com/wp-content/uploads/2025/02/NEW-Amzn-Clothing-Kit-Page-5.jpg, https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-Clothing-Kit-Page-7.jpg, https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-Clothing-Kit-Page-8.jpg, https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-All-Kits-Page-6.jpg, https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-All-Kits-Page-9.jpg	clothing-zipper-rescue-kit	visible	Over $10
Outdoor - Zipper Rescue Kit®	296	Zipper Rescue Kits			Coil, Plastic Tooth		Backpacks & Bags, Jackets & Coats, Luggage, Sleeping Bags, Tents & Canopies			14	RK-OD-100	Zipper Rescue Kits		https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-Outdoor-Kit-Page-1.jpg, https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-Outdoor-Kit-Page-2.jpg, https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-Outdoor-Kit-Page-3.jpg, https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-Outdoor-Kit-Page-5.jpg, https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-Outdoor-Kit-Page-7.jpg, https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-Outdoor-Kit-Page-8.jpg, https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-All-Kits-Page-6-3.jpg, https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-All-Kits-Page-9-3.jpg	outdoor-zipper-rescue-kit	visible	Over $10
Moto - Zipper Rescue Kit®	315	Zipper Rescue Kits			Metal Tooth, Plastic Tooth		Boots & Shoes, Jackets & Coats			14	RK MO 103	Zipper Rescue Kits		https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-Moto-Kit-Page-1.jpg, https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-Moto-Kit-Page-2.jpg, https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-Moto-Kit-Page-3.jpg, https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-Moto-Kit-Page-5.jpg, https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-Moto-Kit-Page-7.jpg, https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-Moto-Kit-Page-8.jpg, https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-All-Kits-Page-6-1.jpg, https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-All-Kits-Page-9-1.jpg	moto-zipper-rescue-kit	visible	Over $10
Marine - Zipper Rescue Kit®	295	Zipper Rescue Kits			Coil, Plastic Tooth		Boat Covers & Cushions, Wetsuits & Lifejackets			14	RK MR 102	Zipper Rescue Kits		https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-Marine-Kit-Page-1.jpg, https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-Marine-Kit-Page-2.jpg, https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-Marine-Kit-Page-3.jpg, https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-Marine-Kit-Page-5.jpg, https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-Marine-Kit-Page-7.jpg, https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-Marine-Kit-Page-8.jpg, https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-All-Kits-Page-6-2.jpg, https://staging2.zipperrescue.com/wp-content/uploads/2025/02/Amzn-All-Kits-Page-9-2.jpg	marine-zipper-rescue-kit	visible	Over $10
#4 Plastic Tooth Slider - (Locking)	297	Zipper Parts	Size #4	8.5	Plastic Tooth	Locking Sliders, Single Pull	Jackets & Coats		Clothing - Zipper Rescue Kit®	4.75	4V LK	Filter by Size > Size #4, Filter by Type > Plastic Tooth Sliders, Filter by Type > Single Pull Sliders, Filter by Type > Locking Sliders, Filter by Type > Rare Sliders	Plastic Tooth, Size #4, Slider - Locking, Slider - Single Pull	https://staging2.zipperrescue.com/wp-content/uploads/2025/02/plastic-tooth_4mm_single_locking_vs.jpg	4-plastic-tooth-slider-locking	visible	Under $5
#8 Plastic Tooth Slider (Locking)	298	Zipper Parts	Size #8	6.5	Plastic Tooth	Locking Sliders, Single Pull	Boots & Shoes, Jackets & Coats	Moto - Zipper Rescue Kit®	Moto - Zipper Rescue Kit®	2.5	8V LK	Filter Parts by Kit > Moto Kit Parts, Filter by Size > Size #8, Filter by Type > Plastic Tooth Sliders, Filter by Type > Single Pull Sliders, Filter by Type > Locking Sliders	Plastic Tooth, Size #8, Slider - Locking, Slider - Single Pull	https://staging2.zipperrescue.com/wp-content/uploads/2025/02/plastic-tooth_8mm_single_locking_v.jpg	8-plastic-tooth-slider	visible	Under $5
#8 Metal Tooth Slider (Locking)	299	Zipper Parts	Size #8	8	Metal Tooth	Locking Sliders, Single Pull	Boots & Shoes, Jackets & Coats	Moto - Zipper Rescue Kit®	Moto - Zipper Rescue Kit®	2.5	8M LK	Filter Parts by Kit > Moto Kit Parts, Filter by Size > Size #8, Filter by Type > Metal Tooth Sliders, Filter by Type > Single Pull Sliders, Filter by Type > Locking Sliders	Metal Tooth, Size #8, Slider - Locking, Slider - Single Pull	https://staging2.zipperrescue.com/wp-content/uploads/2025/02/metal-tooth_8mm_single_locking.jpg	8-metal-tooth-slider	visible	Under $5
#7 Metal Tooth Slider (Locking)	300	Zipper Parts	Size #7	9	Metal Tooth	Locking Sliders, Single Pull	Jackets & Coats	Moto - Zipper Rescue Kit®	Moto - Zipper Rescue Kit®	2.5	7M LK	Filter Parts by Kit > Moto Kit Parts, Filter by Size > Size #7, Filter by Type > Metal Tooth Sliders, Filter by Type > Single Pull Sliders, Filter by Type > Locking Sliders, Filter by Type > Rare Sliders	Metal Tooth, Size #7, Slider - Locking, Slider - Single Pull	https://staging2.zipperrescue.com/wp-content/uploads/2025/02/metal-tooth_7mm_single_locking.jpg	7-metal-tooth-slider	visible	Under $5
#3 Metal Tooth Slider (Locking)	301	Zipper Parts	Size #3	12	Metal Tooth	Locking Sliders, Single Pull	Dresses & Skirts, Jackets & Coats, Purses & Small Bags		Clothing - Zipper Rescue Kit®	1.5	3M LK	Filter by Size > Size #3, Filter by Type > Metal Tooth Sliders, Filter by Type > Single Pull Sliders, Filter by Type > Locking Sliders, Filter by Type > Rare Sliders	Metal Tooth, Size #3, Slider - Locking, Slider - Single Pull	https://staging2.zipperrescue.com/wp-content/uploads/2025/02/metal-tooth_3mm_single_locking.jpg	3-metal-tooth-slider	visible	Under $5
#10 Coil Slider	302	Zipper Parts	Size #10		Coil	Single Pull	Automotive Tops, Backpacks & Bags, Boat Covers & Cushions, Luggage, Tents & Canopies		Outdoor - Zipper Rescue Kit®	2.5	10C	Filter by Size > Size #10, Filter by Type > Coil Sliders, Filter by Type > Single Pull Sliders	Coil, Size #10, Slider - Single Pull	https://staging2.zipperrescue.com/wp-content/uploads/2021/06/10-C-SP.jpg	10-coil-slider	visible	Under $5
#10 Coil Slider - Double Pull	303	Zipper Parts	Size #10		Coil	Double Pull	Boat Covers & Cushions, Sleeping Bags, Tents & Canopies		Outdoor - Zipper Rescue Kit®	2.5	10C DP	Filter by Size > Size #10, Filter by Type > Coil Sliders, Filter by Type > Double Pull Sliders, Filter by Type > Reverse Coil Sliders	Coil, Size #10, Slider - Double Pull	https://staging2.zipperrescue.com/wp-content/uploads/2021/06/10-C-DP.jpg	10-coil-slider-dp	visible	Under $5
